word,pictogram_id,synset,word_senses
abacá,,08083025-n,abacá%1:00:00::
abacá,,09621237-n,abacá%1:00:00::
abad,8115,06466868-n,abad%1:00:00::
abadan,,05915582-n,abadan%1:00:00::
abadejo,,01754846-n,abadejo%1:00:00::
abadejo,,05178672-n,abadejo%1:00:00::
abadejo,,05178779-n,abadejo%1:00:00::
abadengo,,05675396-n,abadengo%1:00:00::
abadengo,,01545699-a,abadengo%3:00:00::
abadesa,,06466697-n,abadesa%1:00:00::
abadia_de_westminster,,05893170-n,abadia_de_westminster%1:00:00::
abadán,,05915582-n,abadán%1:00:00::
abadía,,01859964-n,abadía%1:00:00::
abadía,,01860042-n,abadía%1:00:00::
abadía,,01860120-n,abadía%1:00:00::
abadía,,05675396-n,abadía%1:00:00::
abadía_de_westminster,,05893170-n,abadía_de_westminster%1:00:00::
abajo,5355,00040243-r,abajo%4:00:00::
abajo,,00040649-r,abajo%4:00:00::
abajo,,00040877-r,abajo%4:00:00::
abajo,,00040935-r,abajo%4:00:00::
abajo,,00214143-r,abajo%4:00:00::
abajo,,00222524-r,abajo%4:00:00::
abalanzar,,01024896-v,abalanzar%2:00:00::
abalanzarse,,00752279-v,abalanzarse%2:00:00::
abalanzarse,,01343045-v,abalanzarse%2:00:00::
abalanzarse,,01409275-v,abalanzarse%2:00:00::
abalanzarse,,01412327-v,abalanzarse%2:00:00::
abalanzarse,,01429720-v,abalanzarse%2:00:00::
abalanzarse,,01855848-v,abalanzarse%2:00:00::
abalizar,,00818340-v,abalizar%2:00:00::
abalorio,8334,01956122-n,abalorio%1:00:00::
abalorio,,01956284-n,abalorio%1:00:00::
abama,,08140341-n,abama%1:00:00::
abamp,,08835703-n,abamp%1:00:00::
abampere,,08835703-n,abampere%1:00:00::
abamperia,,08835703-n,abamperia%1:00:00::
abamperio,,08835703-n,abamperio%1:00:00::
abanderada,,06606151-n,abanderada%1:00:00::
abanderado,,06606151-n,abanderado%1:00:00::
abanderado,,07139640-n,abanderado%1:00:00::
abanderado,,07188809-n,abanderado%1:00:00::
abanderar,,00360406-v,abanderar%2:00:00::
abandonada,37580,00778435-a,abandonada%3:00:00::
